Statement,Link,Date,Source
What George Soros said about Ukraine in a 2014 CNN interview,https://www.politifact.com/article/2022/sep/20/what-george-soros-said-about-ukraine-2014-cnn-inte/,"September 20, 2022","By Ciara O'Rourke • September 20, 2022"
How ‘War on Fakes’ uses fact-checking to spread pro-Russia propaganda,https://www.politifact.com/article/2022/aug/08/how-war-fakes-uses-fact-checking-spread-pro-russia/,"o • August 8, 2022","By Luiz Romero • August 8, 2022"
Case study: How Facebook pages exploit Russia’s war in Ukraine with false videos,https://www.politifact.com/article/2022/jul/27/case-study-how-facebook-pages-exploit-russias-war-/,"ls • July 27, 2022","By Grace Abels • July 27, 2022"
"Amid Russia’s invasion of Ukraine, a look back at yellow journalism and the Spanish-American War",https://www.politifact.com/article/2022/apr/27/look-back-fake-news-run-spanish-american-war/,"n • April 27, 2022","By Louis Jacobson • April 27, 2022"
War crime prosecutions in the Russia-Ukraine war: What to expect,https://www.politifact.com/article/2022/apr/26/war-crime-prosecutions-ukraine-what-expect/,"n • April 26, 2022","By Louis Jacobson • April 26, 2022"
"Ukraine war fuels surge of fake content impersonating BBC, CNN coverage",https://www.politifact.com/article/2022/apr/22/ukraine-war-fuels-surge-fake-content-impersonating/,"y • April 22, 2022","By Bill McCarthy • April 22, 2022"
"What are 'tactical' nuclear weapons? And what do they mean for Russia, Ukraine and the world?",https://www.politifact.com/article/2022/apr/19/what-are-tactical-nuclear-weapons-and-what-would-t/,"n • April 19, 2022","By Louis Jacobson • April 19, 2022"
Ask PolitiFact: What’s Ukraine’s history of trying to join NATO?,https://www.politifact.com/article/2022/apr/14/ask-politifact-whats-ukraines-history-trying-join-/,"y • April 14, 2022","By Bill McCarthy • April 14, 2022"
Fact-checking Sen. Brian Schatz vs. Sen. Josh Hawley on aid to Ukraine,https://www.politifact.com/article/2022/apr/12/fact-checking-sen-brian-schatz-vs-sen-josh-hawley-/,"g • April 12, 2022","By Jon Greenberg • April 12, 2022"
"The realities of Biden’s plan to admit 100,000 Ukrainians to the US",https://www.politifact.com/article/2022/apr/12/realities-bidens-plan-admit-100000-ukrainians-us/,"k • April 12, 2022","By Madison Czopek • April 12, 2022"
